text,label
start up the music player,open_application
what time is it,get_current_time
will it rain today,get_weather
control volume,adjust_volume
check weather for Tokyo,get_weather
save screenshot,take_screenshot
load presentation.ppt,open_file
volume down,adjust_volume
draft email to colleague,send_email
describe what's visible,read_screen
what's the temperature,get_weather
run terminal,open_application
display date,get_current_date
write the document,type_text
write email to customer,send_email
press tab,press_key
put in this text,type_text
hit the arrow key,press_key
weather report,get_weather
understand the screen,read_screen
write shopping list,type_text
press windows key,press_key
write to mike@office.com,send_email
read the display,read_screen
open discord,open_application
input search term,type_text
open notes.doc,open_file
send email to john@example.com subject meeting,send_email
today's date please,get_current_date
give me today's date,get_current_date
open the text file,open_file
tell me the weather in London,get_weather
give me the forecast for Chicago,get_weather
search for best pizza places,search_web
turn on sound,adjust_volume
explain what's shown,read_screen
see the screen,read_screen
tell me the date,get_current_date
quit the application,close_application
write this down,type_text
shut down spotify,close_application
close this app,close_application
explain screen contents,read_screen
describe the screen,read_screen
write email body,type_text
is it sunny outside,get_weather
screenshot the desktop,take_screenshot
close the browser,close_application
find details about,search_web
what's the time now,get_current_time
web search for,search_web
what time is it,get_current_time
volume up,adjust_volume
please launch notepad,open_application
type the command,type_text
give me the time,get_current_time
launch photoshop,open_application
exit this application,close_application
press page down,press_key
read the screen,read_screen
load the spreadsheet,open_file
load the document,open_file
today's date please,get_current_date
run calculator,open_application
current weather conditions,get_weather
show current time,get_current_time
weather in San Francisco,get_weather
modify audio level,adjust_volume
today's weather forecast,get_weather
message the administrator,send_email
I need to open excel,open_application
launch adobe photoshop,open_application
give me today's date,get_current_date
give me today's date,get_current_date
time right now,get_current_time
take display photo,take_screenshot
find information about AI,search_web
enter the note,type_text
hit control key,press_key
send mail to supervisor,send_email
insert this content,type_text
push the space bar,press_key
what time is it,get_current_time
search the internet for,search_web
give me the time,get_current_time
compose email,send_email
quit notepad,close_application
current time,get_current_time
tell me what's on screen,read_screen
screenshot this,take_screenshot
tell me current time,get_current_time
send message to john@example.com,send_email
press function key,press_key
tell me the weather in London,get_weather
type out the text,type_text
can you open chrome for me,open_application
open slack,open_application
open database.db,open_file
find online information about,search_web
close chrome,close_application
run the terminal program,open_application
open script.py,open_file
open this file,open_file
what's the weather in New York,get_weather
save screen capture,take_screenshot
open outlook,open_application
email someone,send_email
boost the volume,adjust_volume
look up weather in Berlin,search_web
take a screenshot,take_screenshot
quit word,close_application
what's the current time,get_current_time
type hello world,type_text
screenshot now,take_screenshot
load file budget.xlsx,open_file
capture window,take_screenshot
enter the text,type_text
summarize the screen,read_screen
weather today,get_weather
increase volume,adjust_volume
help me start spotify,open_application
read screen aloud,read_screen
check the time,get_current_time
press return,press_key
launch firefox browser,open_application
take screen photo,take_screenshot
look up on the web,search_web
weather update,get_weather
check today's weather,get_weather
mute,adjust_volume
look it up on google,search_web
find on the internet,search_web
screenshot and save,take_screenshot
weather forecast,get_weather
open microsoft word,open_application
exit terminal,close_application
what's the current date,get_current_date
how's the weather,get_weather
load backup.zip,open_file
push the delete button,press_key
input this phrase,type_text
screenshot the window,take_screenshot
find out about electric cars,search_web
open config.json,open_file
push shift key,press_key
load data.csv,open_file
push home key,press_key
show me the date,get_current_date
analyze what's on screen,read_screen
turn off sound,adjust_volume
take snapshot of display,take_screenshot
tell me the time,get_current_time
hit space,press_key
close outlook,close_application
what date is it,get_current_date
display today's date,get_current_date
capture screen image,take_screenshot
type meeting details,type_text
read the current view,read_screen
input the data,type_text
show me the time,get_current_time
what's today,get_current_date
look for car prices,search_web
interpret screen contents,read_screen
decrease volume,adjust_volume
capture the screen,take_screenshot
raise the volume,adjust_volume
start spotify,open_application
enter this message,type_text
reduce the volume,adjust_volume
lower volume to 30,adjust_volume
enter the information,type_text
show current date,get_current_date
load settings.ini,open_file
type the response,type_text
check the weather conditions,get_weather
open the text editor,open_application
google latest tech news,search_web
open file document.txt,open_file
enter the password,type_text
read what's displayed,read_screen
message admin@site.org,send_email
press shift,press_key
what's the time now,get_current_time
kill the program,close_application
show me the time,get_current_time
forecast for Miami,get_weather
display the time,get_current_time
look up travel destinations,search_web
read current window,read_screen
what's the weather like,get_weather
save screen image,take_screenshot
launch powerpoint,open_application
quit vscode,close_application
launch the presentation software,open_application
capture the display,take_screenshot
press the tab key,press_key
can you tell me the time,get_current_time
press control c,press_key
display time,get_current_time
end the program,close_application
search online for,search_web
check today's date,get_current_date
what's on screen,read_screen
type the message,type_text
shut down edge,close_application
find python documentation,search_web
send email to alice@example.com subject update,send_email
turn volume higher,adjust_volume
press alt f4,press_key
open my email client,open_application
what's today,get_current_date
tap escape,press_key
open the file,open_file
open chrome,open_application
load the image,open_file
open video.mp4,open_file
spell out meeting notes,type_text
look up information about,search_web
scan the screen text,read_screen
load audio.wav,open_file
set sound level,adjust_volume
turn down the sound,adjust_volume
web lookup for,search_web
take a screen capture,take_screenshot
search the web for,search_web
stop excel,close_application
send message to contact@business.com,send_email
what will the weather be in Rome,get_weather
hit insert key,press_key
exit the program,close_application
open the configuration,open_file
write an email,send_email
start word,open_application
email john@example.com about meeting,send_email
describe the current screen,read_screen
open the presentation,open_file
run visual studio code,open_application
mail john.doe@example.com,send_email
show me the time,get_current_time
check the time,get_current_time
open notepad,open_application
write the content,type_text
exit discord,close_application
what's the date today,get_current_date
take a photo of screen,take_screenshot
check the time,get_current_time
load image.png,open_file
tell me today's date,get_current_date
hit the enter key,press_key
show me the weather in Madrid,get_weather
unmute the sound,adjust_volume
push delete,press_key
current day,get_current_date
press enter,press_key
current day,get_current_date
start excel,open_application
is it raining in Seattle,get_weather
open edge,open_application
grab screen,take_screenshot
close slack,close_application
volume down,adjust_volume
send electronic mail,send_email
adjust the volume,adjust_volume
open readme.md,open_file
what time it is,get_current_time
make volume lower,adjust_volume
turn up the sound,adjust_volume
print screen,take_screenshot
today's date,get_current_date
what's today,get_current_date
summarize the screen,read_screen
send email about meeting,send_email
set volume to 50,adjust_volume
screenshot please,take_screenshot
shut that down,close_application
change volume level,adjust_volume
tell me what I'm looking at,read_screen
