text,label
open chrome,open_application
launch vscode,open_application
start spotify,open_application
run calculator,open_application
open notepad,open_application
open discord,open_application
open slack,open_application
launch photoshop,open_application
start excel,open_application
run terminal,open_application
open outlook,open_application
start word,open_application
launch powerpoint,open_application
run cmd,open_application
open edge,open_application
can you open chrome for me,open_application
please launch notepad,open_application
I need to open excel,open_application
help me start spotify,open_application
launch firefox browser,open_application
start the calculator app,open_application
open up discord,open_application
run the terminal program,open_application
open microsoft word,open_application
launch adobe photoshop,open_application
start up the music player,open_application
open my email client,open_application
run visual studio code,open_application
launch the presentation software,open_application
open the text editor,open_application
close chrome,close_application
quit notepad,close_application
exit discord,close_application
shut down spotify,close_application
close photoshop,close_application
quit vscode,close_application
stop excel,close_application
exit terminal,close_application
close outlook,close_application
quit word,close_application
close slack,close_application
shut down edge,close_application
close this app,close_application
shut that down,close_application
kill the program,close_application
close the browser,close_application
quit the application,close_application
exit the program,close_application
shut down the app,close_application
close the window,close_application
stop the application,close_application
end the program,close_application
terminate the app,close_application
close the software,close_application
quit this program,close_application
exit this application,close_application
what's the weather in New York,get_weather
check weather for Tokyo,get_weather
how's the weather in Paris,get_weather
tell me the weather in London,get_weather
weather in San Francisco,get_weather
what will the weather be in Rome,get_weather
show me the weather in Madrid,get_weather
give me the forecast for Chicago,get_weather
is it raining in Seattle,get_weather
forecast for Miami,get_weather
weather today,get_weather
how's the weather,get_weather
weather forecast,get_weather
check today's weather,get_weather
what's the weather like,get_weather
tell me today's forecast,get_weather
is it sunny outside,get_weather
will it rain today,get_weather
check the weather conditions,get_weather
what's the temperature,get_weather
weather report,get_weather
current weather conditions,get_weather
today's weather forecast,get_weather
weather update,get_weather
search for python tutorials,search_web
look up weather in Berlin,search_web
find information about AI,search_web
google latest tech news,search_web
search for best pizza places,search_web
look up travel destinations,search_web
find out about electric cars,search_web
google cheapest flights,search_web
search for healthy recipes,search_web
find python documentation,search_web
search the internet for,search_web
google something for me,search_web
look up on the web,search_web
find online information about,search_web
web search for,search_web
search online for,search_web
look it up on google,search_web
find on the internet,search_web
search the web for,search_web
google search for,search_web
look up information about,search_web
find details about,search_web
search for information on,search_web
web lookup for,search_web
type hello world,type_text
write my name,type_text
input my address,type_text
enter the password,type_text
type the command,type_text
write shopping list,type_text
input search term,type_text
enter the note,type_text
type meeting details,type_text
write email body,type_text
put in this text,type_text
enter this message,type_text
insert this content,type_text
input the data,type_text
write this down,type_text
type out the text,type_text
enter the information,type_text
input the details,type_text
write the content,type_text
type the message,type_text
enter the text,type_text
input this phrase,type_text
write the document,type_text
type the response,type_text
press enter,press_key
hit space,press_key
push escape,press_key
press control c,press_key
press tab,press_key
press shift,press_key
hit backspace,press_key
push delete,press_key
press alt f4,press_key
press windows key,press_key
hit the enter key,press_key
press return,press_key
push the space bar,press_key
tap escape,press_key
press the tab key,press_key
hit control key,press_key
push the delete button,press_key
press function key,press_key
hit the arrow key,press_key
press page down,press_key
push home key,press_key
press end key,press_key
hit insert key,press_key
press caps lock,press_key
push shift key,press_key
take a screenshot,take_screenshot
capture the screen,take_screenshot
screenshot now,take_screenshot
grab screen,take_screenshot
take snapshot of display,take_screenshot
capture window,take_screenshot
save screen image,take_screenshot
snap the screen,take_screenshot
screenshot please,take_screenshot
take a photo of screen,take_screenshot
capture screen image,take_screenshot
save screenshot,take_screenshot
screenshot this,take_screenshot
capture what's on screen,take_screenshot
take screen photo,take_screenshot
screenshot and save,take_screenshot
grab a screenshot,take_screenshot
capture the display,take_screenshot
take a screen capture,take_screenshot
screenshot the window,take_screenshot
save screen capture,take_screenshot
capture screen contents,take_screenshot
take display photo,take_screenshot
screenshot the desktop,take_screenshot
read the screen,read_screen
what's on screen,read_screen
describe the screen,read_screen
see the screen,read_screen
read what's displayed,read_screen
tell me what's on screen,read_screen
interpret screen contents,read_screen
explain what's shown,read_screen
